名稱,分類,劇情介紹,上映日期,網址
玩命關頭9,冒險 動作 ,"
            馮迪索飾演的唐老大和莉蒂與他的兒子小布萊恩，正在過著與世隔絕的平靜生活，但是他們都知道這種平靜的生活隨時隨地都會受到致命危機的威脅。這次，這個威脅將逼迫唐老大面對他過去犯下的罪孽，如果他想要拯救他最愛的人們。他的團隊將再度攜手合作，槓上他們遇過最高竿的職業刺客和飆速車手，並且阻止他摧毀全世界的邪惡計畫。這個神秘人物也正好是早就被唐老大切斷兄弟關係的親弟弟雅各（約翰希南 飾）。
 
【關於電影】
曾經執導《玩命關頭》第3集、第4集、第5集和第6集的華裔導演林詣彬回歸執導《玩命關頭9》，他讓這個電影系列成為全球大賣的超級動作鉅片。《玩命關頭9》這部全新系列電影中的動作場面橫跨全球，從倫敦到東京，從中美洲到愛丁堡，然後從位於亞塞拜然的秘密地下碉堡，一直到喬治亞共和國首都提比里斯車水馬龍、熙來攘往的街頭。這一路上，老朋友將起死回生，昔日的敵人將再度回歸，歷史將被重新改寫，而且家庭真正的意義也將受到前所未有的考驗。再度回歸參與這部電影演出的堅強卡司包括蜜雪兒羅卓奎茲、泰瑞斯吉布森、路達克里斯、喬丹娜布魯斯特、娜塔莉艾曼紐、姜成鎬，以及奧斯卡影后海倫米蘭與莎莉賽隆。曾經榮獲葛萊美獎肯定的當紅歌手和超級巨星卡蒂B在《玩命關頭9》一片中將飾演全新角色蕾莎，一個和唐老大的過去有關聯的女子，另外，雷鬼動音樂巨星歐蘇納也在這部電影中客串演出。
          ",上映日期：2021-08-11,https://movies.yahoo.com.tw/movieinfo_main/%E7%8E%A9%E5%91%BD%E9%97%9C%E9%A0%AD9-fast-furious-9-10482
血衛,科幻 動作 ,"
            ★《玩命關頭系列》製作團隊強力打造　場面刺激再創視覺震撼饗宴
★馮迪索化身超級英雄　展現超狂拳拳到肉打鬥場面
 
取材自暢銷漫畫，士兵雷葛瑞森 (馮迪索 飾) 在一次行動中陣亡，死後被帶至RST公司進行試驗，並成功以超人類「血衛」重生。他的血液中存在著㇐批奈米技術大軍，擁有一股不可阻擋的強大威力—不但能帶來比平常更猛的力量，還能夠及時痊癒。但除了他的身體，RST也同時抹去他舊有的記憶，並控制他的思想。雷無法分辨什麼是真實還是捏造的假象，而他的使命，就是要找出真相！
 
          ",上映日期：2020-03-12,https://movies.yahoo.com.tw/movieinfo_main/%E8%A1%80%E8%A1%9B-bloodshot-10469
復仇者聯盟：終局之戰,冒險 動作 ,"
            復仇者聯盟系列最終章！
灰飛煙毀後的世界該如何走下去，是否還有逆轉結局的機會？一切都將在此揭曉。
          ",上映日期：2019-04-24,https://movies.yahoo.com.tw/movieinfo_main/%E5%BE%A9%E4%BB%87%E8%80%85%E8%81%AF%E7%9B%9F-%E7%B5%82%E5%B1%80%E4%B9%8B%E6%88%B0-avengers-endgame-9728
不完美的正義,劇情 ,"
《不完美的正義》故事改編自布萊恩史蒂文森獲獎無數的非文學類暢銷書籍，布萊恩史蒂文森(麥可B喬丹 飾)從哈佛大學法學院畢業之後，他婉拒了許多條件優渥的工作機會，他選擇前往阿拉巴馬州，在當地人權鬥士伊娃安斯利(布麗拉森 飾)的全力支持下，布萊恩致力於為受到司法誤判或是沒有能力雇請律師的弱勢族群提供適當的法律服務。他甫到阿拉巴馬不久，就經手一項最具挑戰性的冤案：遭司法判處死刑的華特麥米利(傑米福克斯 飾)。他在1987年被控謀殺一名18歲的年輕女子，儘管有多項證據都可以證明他是無辜的，然而僅憑另一名有說謊動機的罪犯證詞，法官就將華特判處死刑。
 
在接下來的幾年，布萊恩竭盡所能地想要幫助華特與像他這樣受到司法不公平對待的囚犯，他不僅要努力建立犯罪嫌疑人與其家人對他的信心，布萊恩還同時身陷一個毫不隱瞞種族歧視、政治腐敗與充滿陰謀的司法迷宮中，阻擋在他面前的是一整個不公不義的龐大司法體制！
 
除了領銜主演的麥可B喬丹、傑米福克斯與布麗拉森外，主要演員還包括羅柏摩根、提姆布雷克尼爾森、瑞夫史波，小歐希亞傑克森、凱倫坎卓克等。
 
【關於電影】
《不完美的正義》改編自布萊恩史蒂文森的著作《不完美的正義：司法審判中的苦難與救贖》，本書自2014年出版，高居《紐約時報》暢銷排行榜150週，至今仍停留在暢銷排行書榜中，這本著作也被包括《時代雜誌》在內等多個指標性刊物評選為年度最佳書籍，作者布萊恩史蒂文森也以這部著作贏得卡內基非文學類傑出作品獎章、有色人種進步協會形象與戴頓非文學類和平獎等多項殊榮。
",上映日期：2020-01-17,https://movies.yahoo.com.tw/movieinfo_main/%E4%B8%8D%E5%AE%8C%E7%BE%8E%E7%9A%84%E6%AD%A3%E7%BE%A9-just-mercy-10243
尚氣與十環傳奇,奇幻 冒險 動作 ,"
            漫威電影宇宙再度擴張，全新動作英雄《尚氣與十環傳奇》正式登場，故事敘述尚氣（劉思慕飾演）自幼接受父親文武（梁朝偉飾演）的鐵血戰鬥培訓，精通各種武術招式。長大後為了逃離家鄉，他改名換姓展開新生活，認識了新摯友凱蒂（奧卡菲娜飾演），平靜日子就這樣過了十年，直到過去再度找上門… 尚氣能否會發掘十環的無敵力量，無懼擺脫父親的勢力？
          ",上映日期：2021-09-03,https://movies.yahoo.com.tw/movieinfo_main/%E5%B0%9A%E6%B0%A3%E8%88%87%E5%8D%81%E7%92%B0%E5%82%B3%E5%A5%87-shang-chi-and-the-legend-of-the-ten-rings-11374
東邪西毒：終極版,劇情 ,"
            ★ 張國榮X林青霞X梁朝偉 X劉嘉玲X梁家輝X 楊采妮X 張學友X 張曼玉八大巨星夢幻同台 重現江湖愛恨情仇
★取材金庸名著 國際大導王家衛 重新定義武俠愛情
★ 睽違26年 影史百大華語電影 經典重返大銀幕
★ 馬友友重新打造配樂 詮釋英雄的磅礡蒼涼
 
茫茫大漠，時間如流動的沙。歐陽鋒（張國榮 飾）失去戀人（張曼玉 飾）後孤身隱居沙漠，以職業殺手維生。日復一日，在他身邊出現的黃藥師（梁家輝 飾）、慕容燕（林青霞 飾）、盲劍客（梁朝偉 飾）、洪七（張學友 飾）、桃花（劉嘉玲 飾），彼此交織出一場愛恨纏繞的戰爭。這場戰爭沒有勝利者，喝下名為「醉生夢死」的酒，讓所有曾經相濡以沫的人，從此相忘於江湖……。
 
          ",上映日期：2020-06-19,https://movies.yahoo.com.tw/movieinfo_main/%E6%9D%B1%E9%82%AA%E8%A5%BF%E6%AF%92-%E7%B5%82%E6%A5%B5%E7%89%88-ashes-of-time-redux-10693
墮落天使,劇情 愛情 ,"
            ★ 鬼才導演王家衛 最高榮譽愛情鉅作 睽違26年大銀幕重現
★ 亞洲巨星齊聚 黎明X李嘉欣X莫文蔚X金城武X楊采妮 同台夢幻演出
★ 都會男女錯綜複雜的情感變化 一個比【重慶森林】更虐心的故事 
★ 獨特蒙太奇拍攝手法 迷幻呈現都市人情感的孤獨
 
天使1號（黎明 飾）是個殺手，一切工作都由天使２號（李嘉欣 飾）來安排，他們合作了很久，卻從未見面，漸漸的天使1號發現自己愛上了天使2號。天使3號（金城武 飾）自從五歲吃過一罐過期的鳳梨罐頭後變成啞巴，經常半夜敲開別人的店面來做生意。某天夜晚，他遇見了天使4號（楊采妮 飾），並將她視為自己的初戀。天使5號（莫文蔚 飾）個性神經質，某天巧遇了自己的舊愛天使1號。都市夜空下，錯綜複雜的情感牽絆帶給天使們的是快樂，還是更大的孤獨？
 
          ",上映日期：2021-02-19,https://movies.yahoo.com.tw/movieinfo_main/%E5%A2%AE%E8%90%BD%E5%A4%A9%E4%BD%BF-fallen-angel-11197
海上花,劇情 ,"
出了這樓，美貌、愛情、心計不過都是一場空
清末，朝廷諭令官員不得上窯子，只有上海英國租界地的高級妓院──「長三書院」，可以公開接待上流社會。久經風霜的煙花女各自拿著恩客們盤算：沈小紅（羽田美智子 飾）兩面手腕，卻聰明反被聰明誤；黃翠鳳（李嘉欣 飾）工於心計，只望最有錢的恩客替她贖身；周雙珠（劉嘉玲 飾）世故練達，但早已對愛情心死......奉父母之命早婚的王蓮生（梁朝偉 飾）在逢場作戲中動了情，欲在虛情假意中覓真愛，十里洋場酒綠燈紅，不過都是一場夢。
 
【關於電影】
 
侯孝賢美學集大成作！《海上花》20週年全新4K數位修復大銀幕獻映
攜手巨星梁朝偉、劉嘉玲 傾訴最淒美青樓愛情故事
侯孝賢導演經典大作《海上花》適逢上映20週年，將以4K修復於大銀幕上再次與影迷相見！《海上花》改編自由蘇州話寫成的小說《海上花列傳》，經張愛玲翻譯成國語，朱天文編劇，集結影帝梁朝偉、影后劉嘉玲、李嘉欣攜手演繹上海妓院的爭寵心計與悲歡離合，傾訴最淒美的青樓愛情故事。此次4K修復由義大利波隆納修復中心負責修復，與日本松竹合作，攝影師李屏賓也親自看光校正，還原電影的風華與精神。李屏賓也表示，「侯導把文化、生活融入《海上花》，道盡人的關係和際遇，即使多年後再來看還是很新鮮。」
 
《海上花》被譽為侯孝賢電影美學集大成之作，全片僅用37顆鏡頭講述近2小時的故事，而他為了重現十九世紀末上海妓院裡紙醉金迷的氛圍，特別從世界各地網羅最雅緻的中式古董傢俱，更對美術、服裝、光影與鏡頭的要求達到最高境界！《海上花》名列影史百大華語電影，當年曾入選坎城影展正式競賽單元，並獲得金馬獎評審團大獎、最佳美術設計，以及台北電影節最佳導演。不同於描寫台灣市民小井的樸實日常，《海上花》為侯孝賢的世界觀增添浮華的一頁！
 
繼《悲情城市》二度合作金馬影帝紀錄保持人梁朝偉
侯導認證「眼神裡有很多壓抑」不說話就有戲
梁朝偉以《花樣年華》、《春光乍洩》等經典電影聲名大噪，奠定影壇一線地位，更以《重慶森林》、《無間道》、《色，戒》三度獲得金馬獎最佳男主角，為現今唯一紀錄保持人！早在1980年代，侯孝賢便看中梁朝偉的沈穩內斂的個性與演技，邀請演出威尼斯金獅獎傑作《悲情城市》，讓全世界看見他細膩的情緒變化，而這也成為梁朝偉演藝生涯最重要的轉型之作！侯孝賢表示：「梁朝偉眼裡有許多壓抑。」不需要台詞，即能成就一齣大戲，也因為《悲情城市》讓侯孝賢看到梁朝偉的潛力，大導不惜更改《海上花》的角色設定，讓梁朝偉能順利克服口音問題大展演技。影帝在《海上花》飾演被迫聽取媒妁之言的早婚男子，試圖在青樓裡尋找真愛，他與劉嘉玲、李嘉欣、羽田美智子等眾女星的火花也在侯導的鏡頭下更顯唯美。
",上映日期：2019-12-20,https://movies.yahoo.com.tw/movieinfo_main/%E6%B5%B7%E4%B8%8A%E8%8A%B1-flowers-of-shanghai-10376
風櫃來的人,劇情 ,"
            ★上映 35 年經典數位修復重新上映
★法國南特影展最佳影片
★金馬獎最佳影片、導演、攝影、剪輯提名
 
青春生命不可預測的哀傷
一群無所事事、血氣方剛的年輕人，在等待入伍的日子裡，從澎湖風櫃去到了高雄。失去了老家的翼護，原本的苦悶變成騷動，但面對生活的磨難、人際的變遷，他們也從經驗傷痛，學習成長，青春謝幕。
 
【關於電影】
 
「我一直認為影像跟書寫是同樣的道理，拍影像其實和使用文字是一樣的，不用弄得太『白』，『白』到沒得看。」──侯孝賢
《風櫃來的人》是大導侯孝賢飛躍與轉型之經典作，也是成為國際影壇所知的開山代表作。侯導曾多次稱《風櫃來的人》是他導演生涯的一大轉折，也是他個人和當時擔任攝影師的另一位名導陳坤厚最喜歡、拍得最過癮之作。侯孝賢談起自己拍攝《風櫃來的人》曾表示：「我拍《風櫃來的人》的時候，劇本都寫好了卻不知道怎麼拍，後來朱天文聽我轉述後，拿一本小說給我看〈沈從文自傳〉，這本小說有一個觀點，是俯視的，好像這個是世界上發生種種的悲傷的事情，他都很客觀地在看，有一種胸襟。」
 
《風櫃來的人》是導演侯孝賢拍的第四部電影，裡面有許多自己的經歷，及對自己成長過程的感激與喜悅。他曾表示，拍攝此片的動機來自某年冬天，在澎湖一個人閒逛到風櫃，下了車在某雜貨店看到一群年輕人打撞球，就坐在那裡看了將近一個鐘頭，「我忘不了這群青年，看樣子他們都已沒再繼續唸書，感覺他們是這麼不安定，而隨時會出事。在他們身上你看見青春生命不可預測的哀傷，那個荒涼寂寞的下午。」因此這段記錄就成為他轉捩經典之作《風櫃來的人》的開頭，這部片不僅是大導侯孝賢的里程碑，也影響後世無數影人，金馬影后桂綸鎂也表示，第一部啟發她的華語電影，正是侯孝賢導演《風櫃來的人》！
          ",上映日期：2018-11-30,https://movies.yahoo.com.tw/movieinfo_main/%E9%A2%A8%E6%AB%83%E4%BE%86%E7%9A%84%E4%BA%BA-the-boys-from-fengkuei-9056
軍中樂園,歷史/傳記 劇情 ,"
            ★獻給台灣的跨時代青春記憶！★構思八年、籌備兩年、耗資2.5億台幣，呈現七零年代金門戰地風雲。★集結金馬影帝阮經天、《甄嬛傳》陳建斌、《聖誕玫瑰》萬茜、《愛》陳意涵、《十月圍城》王柏傑、金鐘影后苗可麗、人氣諧星小蝦、洪都拉斯、大飛、香港金獎獎最佳男配角廖啟智等，群星氣勢，史詩格局。海龍菜鳥小寶來到海天一色的金門，歡迎他的卻是魔鬼士官長老張帶來的鐵血磨練。慘遭退訓後，他被分發到有「軍中樂園」之稱的特約茶室，卻在這裡遇到了新訓中心的好友華興，也發現了老張對阿嬌情有獨鍾的秘密。堅守忠貞的他這時也被侍應生妮妮吸引，展開了一段幽微的情愫。就當一切看似美好之際，茶室出了意外，風聲鶴唳下，小寶偶然間又得知了妮妮深藏心底的秘密！他的世界開始動搖之際，變化接踵而至。《軍中樂園》是導演鈕承澤繼《愛》、《艋舺》之後，一部對複雜人性的探索力作，也是獻給每個勇敢心靈的時代戀歌。導演的話從小我就經常聽父親說著家鄉的種種，聽他描述我從沒見過的爺爺奶奶、家鄉的街道、小吃。我只能聽他說，無法想像他口中的街道跟我奔跑的巷子哪裡不一樣。我父親那輩人，很多因為戰爭的關係，年輕時就離開了家鄉，有的後來終於返鄉，也有的再也不曾回去。我們就像站在世界的兩個極端，八零年代正值青春期的我，每天只想出門鬼混，「家」對我來說，是個遙遠的地方。那時我從沒想過，或許父親也有著同樣的感受，甚至是超乎我理解的深刻。每次出門前，都會看到一個身影痀僂著窩在桌前，握著筆，顫抖地寫著給家人的家書。他這輩子始終沒能回去過。父親過世之後，我花了很長的時間，試圖踏上他的人生軌道，同時也試圖捕捉那個世代的人，在時間洪流的推擠下，頻頻眺望家鄉的眼光。那裡究竟有著怎麼樣的迷惘？家在他方，也在這端；既是他方的兒子，也是這方的父親；少了他，都是缺憾。於是這次，我想透過一個特別的題材，一群身不由己的人物，在一個荒謬的年代，被禁錮在一座風光明媚的小島，等待著一場永遠都不會發生的戰爭。這想法在我腦海裡，經過十《軍中樂園》年反覆的消化、推翻、重整，再花了兩年才完成《軍中樂園》。我希望用更純粹的、內省的行腳方式，面對一個時代的故事，也面對一個兒子未能好好擁抱父親的遺憾。如果因為這部電影、因為他們的故事，有了更多相互理解的心靈，又何嘗不是一種穿越時間的擁抱？
          ",上映日期：2014-09-05,https://movies.yahoo.com.tw/movieinfo_main/%E8%BB%8D%E4%B8%AD%E6%A8%82%E5%9C%92-paradise-in-service-5267
